:+1:,&#x1f44d;
:100:,&#x1f4af;
:1234:,&#x1f522;
:8ball:,&#x1f3b1;
:a:,&#x1f170;
:ab:,&#x1f18e;
:abc:,&#x1f524;
:abcd:,&#x1f521;
:accept:,&#x1f251;
:aerial_tramway:,&#x1f6a1;
:airplane:,&#x2708;
:alarm_clock:,&#x23f0;
:alien:,&#x1f47d;
:ambulance:,&#x1f691;
:anchor:,&#x2693;
:angel:,&#x1f47c;
:anger:,&#x1f4a2;
:angry:,&#x1f620;
:anguished:,&#x1f627;
:ant:,&#x1f41c;
:apple:,&#x1f34e;
:aquarius:,&#x2652;
:aries:,&#x2648;
:arrow_backward:,&#x25c0;
:arrow_double_down:,&#x23ec;
:arrow_double_up:,&#x23eb;
:arrow_down:,&#x2b07;
:arrow_down_small:,&#x1f53d;
:arrow_forward:,&#x25b6;
:arrow_heading_down:,&#x2935;
:arrow_heading_up:,&#x2934;
:arrow_left:,&#x2b05;
:arrow_lower_left:,&#x2199;
:arrow_lower_right:,&#x2198;
:arrow_right:,&#x27a1;
:arrow_right_hook:,&#x21aa;
:arrow_up:,&#x2b06;
:arrow_up_down:,&#x2195;
:arrow_up_small:,&#x1f53c;
:arrow_upper_left:,&#x2196;
:arrow_upper_right:,&#x2197;
:arrows_clockwise:,&#x1f503;
:arrows_counterclockwise:,&#x1f504;
:art:,&#x1f3a8;
:articulated_lorry:,&#x1f69b;
:astonished:,&#x1f632;
:athletic_shoe:,&#x1f45f;
:atm:,&#x1f3e7;
:b:,&#x1f171;
:baby:,&#x1f476;
:baby_bottle:,&#x1f37c;
:baby_chick:,&#x1f424;
:baby_symbol:,&#x1f6bc;
:back:,&#x1f519;
:baggage_claim:,&#x1f6c4;
:balloon:,&#x1f388;
:ballot_box_with_check:,&#x2611;
:bamboo:,&#x1f38d;
:banana:,&#x1f34c;
:bangbang:,&#x203c;
:bank:,&#x1f3e6;
:bar_chart:,&#x1f4ca;
:barber:,&#x1f488;
:baseball:,&#x26be;
:basketball:,&#x1f3c0;
:bath:,&#x1f6c0;
:bathtub:,&#x1f6c1;
:battery:,&#x1f50b;
:bear:,&#x1f43b;
:bee:,&#x1f41d;
:beer:,&#x1f37a;
:beers:,&#x1f37b;
:beetle:,&#x1f41e;
:beginner:,&#x1f530;
:bell:,&#x1f514;
:bento:,&#x1f371;
:biking_man:,&#x1f6b4;
:bike:,&#x1f6b2;
:bikini:,&#x1f459;
:bird:,&#x1f426;
:birthday:,&#x1f382;
:black_circle:,&#x26ab;
:black_joker:,&#x1f0cf;
:black_large_square:,&#x2b1b;
:black_medium_small_square:,&#x25fe;
:black_medium_square:,&#x25fc;
:black_nib:,&#x2712;
:black_small_square:,&#x25aa;
:black_square_button:,&#x1f532;
:blossom:,&#x1f33c;
:blowfish:,&#x1f421;
:blue_book:,&#x1f4d8;
:blue_car:,&#x1f699;
:blue_heart:,&#x1f499;
:blush:,&#x1f60a;
:boar:,&#x1f417;
:boat:,&#x26f5;
:bomb:,&#x1f4a3;
:book:,&#x1f4d6;
:bookmark:,&#x1f516;
:bookmark_tabs:,&#x1f4d1;
:books:,&#x1f4da;
:boom:,&#x1f4a5;
:boot:,&#x1f462;
:bouquet:,&#x1f490;
:bowing_man:,&#x1f647;
:bowling:,&#x1f3b3;
:boy:,&#x1f466;
:bread:,&#x1f35e;
:bride_with_veil:,&#x1f470;
:bridge_at_night:,&#x1f309;
:briefcase:,&#x1f4bc;
:broken_heart:,&#x1f494;
:bug:,&#x1f41b;
:bulb:,&#x1f4a1;
:bullettrain_front:,&#x1f685;
:bullettrain_side:,&#x1f684;
:bus:,&#x1f68c;
:busstop:,&#x1f68f;
:bust_in_silhouette:,&#x1f464;
:busts_in_silhouette:,&#x1f465;
:cactus:,&#x1f335;
